city_vac,profession,salary,description
Уфа,кассир,26500.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
г Москва,продавец,42612.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
г Красноармейск,продавец,41659.0,ответственность дисциплинированность внимательность наличие аналогичного является преимуществом
г Санкт-Петербург,продавец,48150.0,ответственность дисциплинированность внимательность наличие аналогичного является преимуществом
"г Домодедово, мкр Барыбино",кассир,43500.0,ответственность дисциплинированность внимательность наличие аналогичного является преимуществом
Нижнекамск,кассир,26000.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
Екатеринбург,кассир,32000.0,ответственность дисциплинированность внимательность приветствуется магазинах магнит дикси перекресток азбука вкуса вкусвилл карусель верный ашан metro магнолия других торговых сетях
Владимир,кассир,39000.0,коммуникабельность умение команде честность данной сфере требуется мы готовы вас всему научить ответственность готовность развиваться обязанности выполнение планов продаж кассе обслуживание покупателей принятым компании стандартам выкладка товара смена ценников отслеживание сроков реализации продукции торговом зале
Челябинск,медсестра,27000.0,наличие медицинского образования сертификат рентгенолаборанта уверенный пользователь пк коммуникабельность позитив умение команде
Тула,слесарь,65000.0,профильное образование соблюдение трудовой бытовой дисциплины активный целеустремленный нацеленный результат
,сварщик,54000.0,точное выполнение поручений
Екатеринбург,сварщик,65000.0,образование среднеспециальное – электрогазосварщик разряда стаж лет наличие аттестации накс желательно обязательно сварке полуавтомат умение читать конструкторскую документацию знать требования сварным швам
Москва,сварщик,65000.0,специальности х лет сварке трубопроводов наличие среднетехнического образования профессии сварщик
Санкт-Петербург,сварщик,100000.0,образование среднего специального умение читать сварочные чертежи знание правил охраны труда техники безопасности пожарной промышленной безопасности
Иркутск,сварщик,135000.0,действующий накс нгдо специальности х лет
Сургут,сварщик,170000.0,наличие квалификационных удостоверений х лет
Санкт-Петербург,сварщик,100000.0,образование среднего специального умение читать сварочные чертежи знание правил охраны труда техники безопасности пожарной промышленной безопасности
Самара,сварщик,33600.0,начальное профессиональное образование
деревня Мударисово,сварщик,92500.0,среднее профессиональное образование удостоверение накс исполнительность ответственность стремление совершенствованию профессиональных навыков знание пк уровне пользователяжелательно коммуникабельность
,сварщик,111000.0,наличие квалификационного удостоверения профессии наличие действующего удостоверения накс ск пп нгдо пп случае удостоверение накс просроченоорганизация готова вас аттестовать
Комсомольск-на-Амуре,сварщик,37500.0,среднеспециальное образование года
,сварщик,25000.0,начальное профессиональное образование профессии должен знать устройство различной используемой электросварочной газосварочной газорезательной аппаратуры особенности сварки переменном постоянном токе основные законы электротехники пределах выполняемой принцип обслуживаемых газосварочных аппаратов газогенераторов кислородных ацетиленовых баллонов редукторных приборов сварочных горелок виды сварочных соединений швов виды дефектов сварочных методы их предупреждения устранения марки типы электродов
посёлок Новоангарск,сварщик,105750.0,среднее специальное образование удостоверение &quotэлектрогазосварщик&quot профильный менее одного года умение производить сварку любом пространственном положении выполнять резку металла умение читать чертежи приветствуется
,сварщик,185800.0,сварщиком лет наличие удостоверения электросварщика разряда наличие накс знание соблюдение техники безопасности инструкции охране труда умение техкартами заваривание контрольных образцов территории завода заказчика
,сварщик,153000.0,квалификационное удостоверение электрогазосварщика накс менее х лет последнее время официально подтвержденный трудовой книжкой разряд
посёлок городского типа Зауральский,сварщик,55000.0,наличие диплома сварщика дополнительное образование газорезчика приветствуется металлоконструкциями навык сварки узлов полным проваром желание осваивать новое оборудование
,сварщик,62500.0,действующее удостоверение электрогазосварщика разряда отсутствие медицинских противопоказаний выполнению
,сварщик,110000.0,удостоверение накс i ск п наличие диплома среднем профессиональном образовании специальности квалификационного удостоверения установленного образца — квалификация разряд — требуемой профессии х лет — знание правил техники безопасности — отсутствие медицинских противопоказаний вахтовым методом
,сварщик,42500.0,знать причины появления дефектов металле уметь избавляться них уметь накладывать вертикальный шов
Москва,сварщик,85000.0,должности года монтажу внутренних инженерных систем вк холодоснабжения теплоснабжения отопления апт умение проектной документацией аккуратность умение команде желание обучаться дополнительные навыки смежных областях электрика вентиляция являются преимуществом дополнительно поощряются отсутствие медицинских противопоказаний умение выполнять свою хорошо
Красноярск,сварщик,90000.0,специальности качественная быстрая сварка швов электро газосваркой чтение чертежей владение электроинструментом
Пущино,сварщик,23000.0,начальное профессиональное образование специальности &quotсварщик&quot приветствуется
